FileName,Mass,Age,Height,Sex,TPush_V
'001.mat',92,27,1.98,1,0.3615
'002.mat',61,19,1.7,-1,0.4252
'003.mat',64,19,1.8,-1,0.4158
'004.mat',66,21,1.8,-1,0.428
'005.mat',59,21,1.65,-1,0.3331
'006.mat',70,18,1.84,1,0.3869
'007.mat',78,19,1.87,1,0.3244
'008.mat',62,17,1.77,1,0.3377
'009.mat',70,20,1.78,1,0.2849
'010.mat',78,20,1.84,1,0.4332
'011.mat',93,19,1.87,1,0.3862
'012.mat',62,21,1.76,-1,0.4813
'013.mat',78,18,1.83,1,0.2902
'014.mat',66,17,1.84,1,0.37
'015.mat',80,20,1.9,1,0.392
'016.mat',68,20,1.75,1,0.3556
'017.mat',56,17,1.68,-1,0.3509
'018.mat',91,26,1.88,1,0.3584
'019.mat',72,17,1.89,1,0.4322
'020.mat',66,19,1.8,1,0.3146
'021.mat',70,19,1.81,1,0.3519
'022.mat',81,24,1.83,1,0.3602
'023.mat',53,16,1.62,-1,0.3461
'024.mat',60,18,1.72,-1,0.3724
'025.mat',55.5,22,1.7,-1,0.404
'026.mat',61,18,1.73,-1,0.3763
'027.mat',52.5,20,1.62,-1,0.3697
'028.mat',81,20,1.85,1,0.3882
'029.mat',57,20,1.73,-1,0.3822
'030.mat',62,20,1.75,-1,0.3791
'031.mat',63,20,1.78,-1,0.3737
'032.mat',61,18,1.73,-1,0.3739
'033.mat',70,20,1.72,-1,0.3751
'034.mat',54,20,1.66,-1,0.3442
'035.mat',58,14,1.66,-1,0.3919
'036.mat',67,22,1.82,1,0.3171
'037.mat',67,26,1.72,1,0.3157
'038.mat',75,15,1.85,1,0.4117
'039.mat',75,20,1.83,1,0.3553
'040.mat',50,15,1.6,-1,0.4103
'041.mat',83,24,1.86,1,0.299
'042.mat',70,20,1.79,1,0.3761
'043.mat',54,17,1.59,-1,0.4146
'044.mat',62,24,1.77,-1,0.3662
'045.mat',57.6,20,1.59,-1,0.3974
'046.mat',67,19,1.83,1,0.386
'047.mat',53,16,1.69,-1,0.375
'048.mat',73,18,1.84,1,0.3346
'049.mat',80,19,1.81,1,0.2955
'050.mat',82,16,1.94,1,0.355
'051.mat',64,18,1.84,1,0.3228
'052.mat',64,19,1.74,1,0.2654
'053.mat',70,19,1.76,1,0.315
'054.mat',72,19,1.71,1,0.3262
'055.mat',80,18,1.9,1,0.3586
'056.mat',70,19,1.81,1,0.3795
'057.mat',58,15,1.72,1,0.3869
'058.mat',66,23,1.71,1,0.3473
'059.mat',78.5,25,1.78,1,0.3489
'060.mat',80.7,26,1.78,1,0.3218
'061.mat',80,23,1.85,1,0.3624
'062.mat',75,18,1.8,1,0.4493
'063.mat',72,17,1.88,1,0.3715
'064.mat',70,17,1.75,-1,0.4759
'065.mat',72,18,1.85,-1,0.4218
'066.mat',78.5,23,1.8,1,0.331
'067.mat',97.5,26,1.96,1,0.3341
'068.mat',59.5,19,1.67,-1,0.3772
'069.mat',54,18,1.69,-1,0.3817
'070.mat',65.5,18,1.8,-1,0.402
'071.mat',60.8,24,1.63,-1,0.3311
'072.mat',80,22,1.89,1,0.4189
'073.mat',72,16,1.76,-1,0.3768
'074.mat',87,32,1.8,1,0.3952
'075.mat',84,18,2,1,0.4491
'076.mat',71,22,1.82,1,0.3941
'077.mat',82.6,27,1.83,1,0.3376
'078.mat',62,18,1.66,-1,0.3833
'079.mat',75,22,1.8,1,0.4019
'080.mat',69,16,1.85,1,0.3661
'081.mat',72,25,1.83,1,0.3625
'082.mat',76,19,1.81,1,0.3461
'083.mat',64,16,1.7,-1,0.4241
'084.mat',64,17,1.71,1,0.2967
'085.mat',74,24,1.82,1,0.3681
'086.mat',83,20,1.84,1,0.3957
'087.mat',69,18,1.78,1,0.3823
'088.mat',83,20,1.82,1,0.3562
'089.mat',74,19,1.74,1,0.372
'090.mat',64.5,27,1.7,-1,0.3876
'091.mat',70,23,1.77,1,0.3666
'092.mat',79,25,1.81,1,0.3546
'093.mat',54,18,1.71,-1,0.3941
'094.mat',56,21,1.7,-1,0.3325
'095.mat',85,18,1.86,1,0.3893
'096.mat',71,15,1.82,1,0.3793
'097.mat',53,17,1.63,1,0.3475
'098.mat',84,19,1.8,1,0.349
'099.mat',63,20,1.78,1,0.377
'100.mat',75,19,1.81,1,0.3745
'101.mat',81,23,1.82,1,0.3294
'102.mat',76,20,1.83,1,0.3893
'103.mat',62.5,18,1.75,-1,0.3996
'104.mat',67,26,1.73,-1,0.3823
'105.mat',73,23,1.8,1,0.3583
'106.mat',65,20,1.8,1,0.3488
'107.mat',56,17,1.68,-1,0.4115
'108.mat',65,16,1.79,1,0.3478
'109.mat',68,19,1.77,1,0.372
'110.mat',53,20,1.67,-1,0.359
'111.mat',75,26,1.84,1,0.3501
'112.mat',67,17,1.73,1,0.3724
'113.mat',84,27,1.81,1,0.359
'114.mat',73,26,1.84,1,0.3618
'115.mat',68.9,22,1.72,1,0.3029
'116.mat',75,21,1.8,1,0.3848
'117.mat',82,22,1.83,1,0.4112
'118.mat',62,17,1.76,1,0.3502
'119.mat',64,18,1.74,-1,0.3867
'120.mat',56.7,26,1.67,-1,0.3429
'121.mat',78,30,1.83,1,0.3492
'122.mat',78,19,1.88,1,0.3792
'123.mat',61,19,1.73,-1,0.4328
'124.mat',75,19,1.85,1,0.4041
'125.mat',71,24,1.78,-1,0.3769
'126.mat',74,17,1.83,1,0.3813
'127.mat',72,18,1.76,-1,0.4265
'128.mat',79,19,1.9,1,0.3955
'129.mat',65,18,1.72,-1,0.4539
'130.mat',68,19,1.74,1,0.3428
'131.mat',61.7,33,1.78,-1,0.3862
'132.mat',62,26,1.77,-1,0.4406
'133.mat',74,20,1.83,1,0.3911
'134.mat',58.7,24,1.69,-1,0.3847
'135.mat',77.1,26,1.83,1,0.3439
'136.mat',73,18,1.82,1,0.3513
'137.mat',71,14,1.84,1,0.3904
'138.mat',65,17,1.78,1,0.3781
'139.mat',77.1,21,1.8,1,0.3091
'140.mat',58,18,1.67,-1,0.4318
'141.mat',85,19,1.83,1,0.3155
'142.mat',82.6,20,1.93,1,0.3402
'143.mat',75.663147,20,1.781,1,0.355
'144.mat',74.453537,20,1.786,1,0.3137
'145.mat',80.52951,32,1.738,1,0.3412
'146.mat',79.583885,19,1.75,1,0.3227
'147.mat',73.905327,24,1.751,1,0.3557
'148.mat',79.14959105,23,1.786,1,0.3721
'149.mat',75.827309,23,1.836,1,0.3516
'150.mat',72.160156,23,1.742,1,0.3272
'151.mat',76.970497,31,1.773,1,0.3443
'152.mat',78.504,24,1.79,1,0.3296
'153.mat',65.90370713,25,1.712,-1,0.4163
'154.mat',59.66799842,22,1.634,-1,0.3792
'X143.mat',85.7,33,2.001,1,0.4413
'X144.mat',73.8,32,1.89,1,0.4747
'X145.mat',74.7,25,1.91,-1,0.3876
'X146.mat',69.7,27,1.87,-1,0.4664
'X147.mat',80.2,30,1.81,1,0.4408
'X148.mat',89.1,25,1.97,1,0.3728
'X149.mat',71,31,1.78,1,0.4159
